observable,rows,columns,rank_99pct,rank_99.9pct,rank_99.999pct,omega,a,N,control
theta_mean,4,8,3,3,3,2,2,16,zeta
theta_mean,5,16,4,4,4,2,2,32,zeta
theta_mean,6,32,4,5,5,2,2,64,zeta
theta_mean,4,8,3,3,3,1.5,2,16,zeta
theta_mean,5,16,4,4,4,1.5,2,32,zeta
theta_mean,6,32,5,5,5,1.5,2,64,zeta
theta_mean,4,8,3,3,3,1.25,2,16,zeta
theta_mean,5,16,4,4,4,1.25,2,32,zeta
theta_mean,6,32,5,5,5,1.25,2,64,zeta
theta_mean,4,8,3,3,3,1.1,2,16,zeta
theta_mean,5,16,4,4,4,1.1,2,32,zeta
theta_mean,6,32,5,5,5,1.1,2,64,zeta
theta_mean,4,8,2,2,3,nan,2,16,gaussian_fourier_phase
theta_mean,4,8,3,3,3,nan,2,16,finite_blaschke
theta_mean,4,8,3,3,3,nan,2,16,random_rational_allpass
theta_mean,4,8,2,3,3,nan,2,16,generic_smooth_unit_phase
theta_mean,5,16,3,3,3,nan,2,32,gaussian_fourier_phase
theta_mean,5,16,4,4,4,nan,2,32,finite_blaschke
theta_mean,5,16,3,3,4,nan,2,32,random_rational_allpass
theta_mean,5,16,3,3,4,nan,2,32,generic_smooth_unit_phase
theta_mean,6,32,4,5,5,nan,2,64,gaussian_fourier_phase
theta_mean,6,32,3,5,5,nan,2,64,finite_blaschke
theta_mean,6,32,4,5,5,nan,2,64,random_rational_allpass
theta_mean,6,32,4,5,5,nan,2,64,generic_smooth_unit_phase
