transform_id,direction,depth,d,e,span_width,phase_table_index,theta,input_energy,low_child_energy,high_child_energy,roundtrip_residual
0,forward,2,1,4,64,32,0.7853981633974483,294.17089562630764,293.8874586295575,294.4543326230578,6.78780871917964e-17
0,forward,3,1,8,32,16,0.39269908169872414,293.8874586295575,250.08250981317738,337.6924074459376,8.688723074435322e-17
0,forward,3,2,8,32,32,0.7853981633974483,250.79004806787435,229.8127618791211,271.76733425662763,9.254255246853026e-17
0,forward,3,3,8,32,48,1.1780972450961724,294.4543326230578,199.4020928570429,389.5065723890726,1.1754369745257897e-16
0,forward,4,1,16,16,8,0.19634954084936207,250.08250981317738,156.3396533444768,343.82536628187796,8.908026661566264e-17
0,forward,4,2,16,16,16,0.39269908169872414,229.8127618791211,206.62972698016148,252.99579677808066,5.577468876928452e-17
0,forward,4,3,16,16,24,0.5890486225480862,199.40209285704293,209.15619715173375,189.64798856235205,1.1508157288376387e-16
0,forward,4,4,16,16,32,0.7853981633974483,189.10956988044313,195.27334715926668,182.94579260161953,8.477011561034902e-17
0,forward,4,5,16,16,40,0.9817477042468103,389.50657238907263,253.2832913581508,525.7298534199945,6.918318094334453e-17
0,forward,4,6,16,16,48,1.1780972450961724,271.76733425662763,295.52388662011884,248.01078189313648,7.589505203562272e-17
0,forward,4,7,16,16,56,1.3744467859455345,337.6924074459376,305.57626091015186,369.8085539817234,7.473005417679794e-17
0,forward,5,1,32,8,4,0.09817477042468103,156.3396533444768,111.52995546113155,201.14935122782208,9.604363494516138e-17
0,forward,5,2,32,8,8,0.19634954084936207,206.62972698016148,323.0892187705174,90.1702351898056,1.0757582709727634e-16
0,forward,5,3,32,8,12,0.2945243112740431,209.15619715173375,270.1294592526166,148.18293505085094,4.376395288612704e-17
0,forward,5,4,32,8,16,0.39269908169872414,195.27334715926665,219.3296205747551,171.2170737437782,8.739396224136616e-17
0,forward,5,5,32,8,20,0.4908738521234052,253.28329135815082,212.36581485494156,294.2007678613601,1.569214157424656e-16
0,forward,5,6,32,8,24,0.5890486225480862,295.52388662011884,289.2519123144757,301.7958609257618,1.5914672159886925e-16
0,forward,5,7,32,8,28,0.6872233929727672,305.57626091015186,360.6279695477368,250.52455227256698,1.129000059667568e-16
0,forward,5,8,32,8,32,0.7853981633974483,186.79233737884755,218.97953451105792,154.6051402466372,7.663474291929256e-17
0,forward,5,9,32,8,36,0.8835729338221293,369.8085539817234,519.8924798050722,219.7246281583745,7.210810006228344e-17
0,forward,5,10,32,8,40,0.9817477042468103,248.01078189313645,290.84935892261933,205.17220486365366,1.2767676519266062e-16
0,forward,5,11,32,8,44,1.0799224746714913,525.7298534199945,595.9641593442577,455.4955474957313,5.375543421655385e-17
0,forward,5,12,32,8,48,1.1780972450961724,182.94579260161956,262.0663709744707,103.8252142287684,7.79780951615993e-17
0,forward,5,13,32,8,52,1.2762720155208536,189.64798856235205,277.81508094063076,101.4808961840733,1.0823650146070777e-16
0,forward,5,14,32,8,56,1.3744467859455345,252.99579677808066,308.96823595833484,197.0233575978265,4.009687685711264e-17
0,forward,5,15,32,8,60,1.4726215563702154,343.82536628187796,505.3123246501302,182.33840791362564,8.121760604366195e-17
0,forward,6,1,64,4,2,0.04908738521234052,111.52995546113155,41.23488133384751,181.8250295884156,1.8329526968232047e-16
0,forward,6,2,64,4,4,0.09817477042468103,323.0892187705174,182.23916884551903,463.9392686955157,5.0933492074800603e-17
0,forward,6,3,64,4,6,0.14726215563702155,270.1294592526166,164.42478410773015,375.83413439750296,3.309252274728315e-17
0,forward,6,4,64,4,8,0.19634954084936207,219.3296205747551,70.34981661683686,368.30942453267335,6.043913838784952e-17
0,forward,6,5,64,4,10,0.2454369260617026,212.36581485494156,141.7098774589329,283.0217522509502,8.652921838461764e-17
0,forward,6,6,64,4,12,0.2945243112740431,289.2519123144757,422.2900658587678,156.21375877018374,3.6927261301928473e-17
0,forward,6,7,64,4,14,0.3436116964863836,360.62796954773677,264.5792289778882,456.6767101175854,1.2593299055477934e-16
0,forward,6,8,64,4,16,0.39269908169872414,218.97953451105792,60.48494068960936,377.47412833250644,1.3834004869348653e-16
0,forward,6,9,64,4,18,0.44178646691106466,519.8924798050723,371.0773585832432,668.7076010269013,9.591120003270495e-17
0,forward,6,10,64,4,20,0.4908738521234052,290.84935892261933,160.27352658944076,421.425191255798,1.104771388349685e-16
0,forward,6,11,64,4,22,0.5399612373357456,595.9641593442577,815.9966565970105,375.93166209150496,5.752546658410942e-17
0,forward,6,12,64,4,24,0.5890486225480862,262.0663709744707,258.071633658927,266.0611082900143,1.5025370892892317e-16
0,forward,6,13,64,4,26,0.6381360077604268,277.81508094063076,84.5295364967117,471.10062538454986,1.0740363874181562e-16
0,forward,6,14,64,4,28,0.6872233929727672,308.96823595833484,281.0395329242597,336.89693899240996,5.649347720967357e-17
0,forward,6,15,64,4,30,0.7363107781851077,505.31232465013034,617.6522337938031,392.9724155064576,1.1894447702489245e-16
0,forward,6,16,64,4,32,0.7853981633974483,261.0323061787984,314.2051265532391,207.85948580435794,9.116317317935395e-17
0,forward,6,17,64,4,34,0.8344855486097889,182.33840791362564,108.0035165577462,256.67329926950515,6.577504253130147e-17
0,forward,6,18,64,4,36,0.8835729338221293,197.02335759782648,44.6742702134729,349.3724449821801,8.066182456945267e-17
0,forward,6,19,64,4,38,0.9326603190344698,101.48089618407332,88.14130588873834,114.82048647940829,9.918833321314954e-17
0,forward,6,20,64,4,40,0.9817477042468103,103.8252142287684,132.12918522421168,75.52124323332515,1.326649393710401e-16
0,forward,6,21,64,4,42,1.030835089459151,455.4955474957312,586.8626571196952,324.12843787176723,4.289657500221411e-17
0,forward,6,22,64,4,44,1.0799224746714913,205.17220486365366,67.71393587787804,342.6304738494292,8.347952353419782e-17
0,forward,6,23,64,4,46,1.1290098598838318,219.72462815837451,137.26801748271538,302.1812388340337,1.348165986171205e-16
0,forward,6,24,64,4,48,1.1780972450961724,154.60514024663723,215.72968908001843,93.48059141325601,1.08624833300904e-16
0,forward,6,25,64,4,50,1.227184630308513,250.52455227256698,226.24106417975872,274.8080403653753,1.2625761683713338e-16
0,forward,6,26,64,4,52,1.2762720155208536,301.79586092576176,228.84110923705774,374.75061261446575,1.3825362163965717e-16
0,forward,6,27,64,4,54,1.325359400733194,294.2007678613601,327.7038695718871,260.6976661508332,1.5601860665410822e-16
0,forward,6,28,64,4,56,1.3744467859455345,171.2170737437782,157.84852006832512,184.58562741923123,1.6031376093765023e-16
0,forward,6,29,64,4,58,1.423534171157875,148.18293505085092,114.34406056654151,182.02180953516034,1.0944410638249757e-16
0,forward,6,30,64,4,60,1.4726215563702154,90.1702351898056,120.70941785212375,59.631052527487434,1.242847520790991e-16
0,forward,6,31,64,4,62,1.521708941582556,201.14935122782208,150.39260600558666,251.90609645005748,6.314170213438332e-17
0,forward,7,1,128,2,1,0.02454369260617026,41.23488133384751,24.217374891406774,58.25238777628825,7.128568315581119e-17
0,forward,7,2,128,2,2,0.04908738521234052,182.23916884551903,64.21200476257134,300.2663329284668,1.4711750668383636e-16
0,forward,7,3,128,2,3,0.07363107781851078,164.42478410773018,206.6129195653204,122.23664865013984,1.4384048233437954e-16
0,forward,7,4,128,2,4,0.09817477042468103,70.34981661683685,40.06083809487601,100.63879513879772,1.4975582700033356e-16
0,forward,7,5,128,2,5,0.1227184630308513,141.7098774589329,111.61827878177222,171.80147613609358,2.110304616747784e-16
0,forward,7,6,128,2,6,0.14726215563702155,422.29006585876783,712.802644030608,131.7774876869276,2.1610498676669195e-17
0,forward,7,7,128,2,7,0.1718058482431918,264.5792289778882,306.035876035873,223.12258191990324,7.722134139196648e-17
0,forward,7,8,128,2,8,0.19634954084936207,60.48494068960936,84.82862440846476,36.141256970754,2.37159835961119e-16
0,forward,7,9,128,2,9,0.22089323345553233,371.0773585832432,673.8230360113121,68.33168115517421,9.505226137502452e-17
0,forward,7,10,128,2,10,0.2454369260617026,160.2735265894408,72.93351037622935,247.61354280265218,0.0
0,forward,7,11,128,2,11,0.2699806186678728,815.9966565970105,99.63658717796555,1532.3567260160553,6.409888752934901e-17
0,forward,7,12,128,2,12,0.2945243112740431,258.071633658927,203.2476602402171,312.8956070776369,3.909444782325341e-17
0,forward,7,13,128,2,13,0.3190680038802134,84.5295364967117,145.6314916886356,23.427581304787804,4.830209606570266e-17
0,forward,7,14,128,2,14,0.3436116964863836,281.0395329242597,455.16352418227535,106.91554166624408,1.18468124059602e-16
0,forward,7,15,128,2,15,0.36815538909255385,617.652233793803,681.2520696472423,554.0523979403639,1.4843036598560364e-16
0,forward,7,16,128,2,16,0.39269908169872414,314.2051265532391,590.1642614240624,38.245991682415934,1.0021288823771966e-16
0,forward,7,17,128,2,17,0.4172427743048944,108.00351655774618,177.40597485420903,38.601058261283335,4.27318084582975e-17
0,forward,7,18,128,2,18,0.44178646691106466,44.6742702134729,72.33314484601405,17.015395580931767,3.322090751179857e-17
0,forward,7,19,128,2,19,0.4663301595172349,88.14130588873833,23.499642842945434,152.78296893453123,6.689528042450108e-17
0,forward,7,20,128,2,20,0.4908738521234052,132.12918522421168,85.3909634251796,178.86740702324377,9.658525958058759e-17
0,forward,7,21,128,2,21,0.5154175447295755,586.8626571196952,517.3964411781683,656.3288730612221,7.332667201144234e-17
0,forward,7,22,128,2,22,0.5399612373357456,67.71393587787804,18.287395194390427,117.14047656136563,5.3967362311583265e-17
0,forward,7,23,128,2,23,0.5645049299419159,137.26801748271538,273.0430770199806,1.4929579454500772,3.790404338389935e-17
0,forward,7,24,128,2,24,0.5890486225480862,215.72968908001843,324.16698239007604,107.29239576996079,1.8141220946800625e-16
0,forward,7,25,128,2,25,0.6135923151542565,226.24106417975872,433.0279598712549,19.454168488262543,1.505466783296898e-16
0,forward,7,26,128,2,26,0.6381360077604268,228.8411092370577,87.925613465843,369.75660500827235,0.0
0,forward,7,27,128,2,27,0.662679700366597,327.7038695718871,624.4716407916652,30.93609835210888,6.938641188790943e-17
0,forward,7,28,128,2,28,0.6872233929727672,157.8485200683251,34.216794190408635,281.4802459462416,0.0
0,forward,7,29,128,2,29,0.7117670855789375,114.34406056654153,154.9974461781311,73.69067495495197,6.229521295869103e-17
0,forward,7,30,128,2,30,0.7363107781851077,120.70941785212375,2.8949575042385316,238.52387820000902,9.038256154719923e-17
0,forward,7,31,128,2,31,0.760854470791278,150.39260600558663,97.78739722038523,202.99781479078803,1.5363608480348199e-16
0,forward,7,32,128,2,32,0.7853981633974483,286.9469323991742,525.7969838935971,48.09688090475139,5.243236214246872e-17
0,forward,7,33,128,2,33,0.8099418560036186,251.90609645005748,318.9875238957192,184.82466900439582,1.153653379877256e-16
0,forward,7,34,128,2,34,0.8344855486097889,59.631052527487434,64.12831307022138,55.13379198475347,6.429674539469323e-17
0,forward,7,35,128,2,35,0.859029241215959,182.02180953516032,254.56008969675028,109.4835293735704,5.99082248116335e-17
0,forward,7,36,128,2,36,0.8835729338221293,184.58562741923123,368.7371531727146,0.43410166574788633,1.347707796531046e-16
0,forward,7,37,128,2,37,0.9081166264282996,260.6976661508332,92.7122442454872,428.68308805617926,7.779409681146155e-17
0,forward,7,38,128,2,38,0.9326603190344698,374.75061261446575,418.22085834470363,331.2803668842278,6.8820892448372e-17
0,forward,7,39,128,2,39,0.9572040116406401,274.8080403653753,306.65595427501063,242.96012645573978,1.1045362260422276e-16
0,forward,7,40,128,2,40,0.9817477042468103,93.48059141325601,3.9302330593220782,183.03094976718995,0.0
0,forward,7,41,128,2,41,1.0062913968529805,302.1812388340337,349.73710901734086,254.62536865072656,2.554679790946551e-17
0,forward,7,42,128,2,42,1.030835089459151,342.63047384942917,243.5911486136263,441.6697990852321,9.596596152078894e-17
0,forward,7,43,128,2,43,1.055378782065321,324.1284378717673,206.9425987764805,441.314276967054,1.1031298866031347e-16
0,forward,7,44,128,2,44,1.0799224746714913,75.52124323332515,124.61909815209219,26.423388314558142,7.22687684080625e-17
0,forward,7,45,128,2,45,1.1044661672776617,114.82048647940827,134.0975340009793,95.54343895783727,4.144389167121011e-17
0,forward,7,46,128,2,46,1.1290098598838318,349.3724449821801,608.7104561060412,90.0344338583191,2.37588763081803e-17
0,forward,7,47,128,2,47,1.1535535524900022,256.67329926950515,56.37332493840111,456.9732736006091,6.19818988245226e-17
0,forward,7,48,128,2,48,1.1780972450961724,207.85948580435794,136.41799316762626,279.3009784410896,6.887637771218775e-17
0,forward,7,49,128,2,49,1.2026409377023426,392.9724155064576,492.0676993817087,293.87713163120657,1.9140382745708687e-16
0,forward,7,50,128,2,50,1.227184630308513,336.89693899240996,119.46468941615008,554.3291885686697,7.258434186078306e-17
0,forward,7,51,128,2,51,1.2517283229146832,471.10062538454986,87.3725023072315,854.8287484618681,1.2276219106585178e-16
0,forward,7,52,128,2,52,1.2762720155208536,266.0611082900143,23.847064471919786,508.2751521081089,8.609531577024951e-17
0,forward,7,53,128,2,53,1.3008157081270237,375.93166209150496,489.9581555601919,261.9051686228181,1.846598366464317e-16
0,forward,7,54,128,2,54,1.325359400733194,421.425191255798,354.89135969112215,487.9590228204739,0.0
0,forward,7,55,128,2,55,1.3499030933393643,668.7076010269013,827.2122747317986,510.20292732200414,1.0303940487093848e-16
0,forward,7,56,128,2,56,1.3744467859455345,377.47412833250644,1.0362338394250883,753.9120228255878,9.284715437023075e-17
0,forward,7,57,128,2,57,1.3989904785517047,456.6767101175854,255.77919453520207,657.5742256999686,1.675415263168843e-16
0,forward,7,58,128,2,58,1.423534171157875,156.21375877018374,34.93896850587948,277.488549034488,7.106251531137864e-17
0,forward,7,59,128,2,59,1.4480778637640452,283.02175225095027,25.502317087532695,540.5411874143676,7.466297778430831e-17
0,forward,7,60,128,2,60,1.4726215563702154,368.3094245326734,140.40721481106488,596.211634254282,0.0
0,forward,7,61,128,2,61,1.4971652489763858,375.834134397503,687.9697649115454,63.6985038834606,1.0308242439354164e-16
0,forward,7,62,128,2,62,1.521708941582556,463.9392686955157,121.38373589677946,806.4948014942523,1.8441007643272808e-16
0,forward,7,63,128,2,63,1.5462526341887264,181.8250295884156,224.02826325798623,139.62179591884492,1.3579001877536265e-16
